Index,Address,FLAG,Contract,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_(Mins),Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions_(including_tnx_to_create_contract,total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr.1,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_rec_2_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_min_val_sent_contract,ERC20_max_val_sent_contract,ERC20_avg_val_sent_contract,ERC20_uniq_sent_token_name,ERC20_uniq_rec_token_name,ERC20_most_sent_token_type,ERC20_most_rec_token_type
167,0xf69a9b73a45e8ce7fd75bc0e7773824c585f6f35,1,1,0,79.93666667,1291.883333,0,16,1,13,0,0,0.0,0.0,0,0,0,0,0,0,17,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
168,0xd74d7e9fee4283564dac6d524c0f80170504cec6,1,1,0,5.876190476,724.7333333,0,8,1,8,0,0,0.0,0.0,0,0,0,0,0,0,9,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
169,0xa0ade8c33166662c28fde74c3321e260be230315,1,1,0,81.9,507.3833333,0,5,1,4,0,0,0.0,0.0,0,0,0,0,0,0,6,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
170,0x9671065b4fad632222de0f4e0d873fe26d908e3d,1,1,0,9.177777778,74.68333333,0,4,1,4,0,0,0.0,0.0,0,0,0,0,0,0,5,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
171,0x4cc9c3ccfa6b3fc0ea72a80cf179fef3774af5e0,1,1,0,754.0346154,10181.36667,0,14,1,13,0,0,1e-09,7.14e-11,0,0,0,0,0,0,15,0,1e-09,0,1e-09,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
172,0x1521074a4423265c7c9ddd88296997eaea210dc5,1,1,0,6.15,10.73333333,0,2,1,2,0,0,0.0,0.0,0,0,0,0,0,0,3,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
173,0x61a956a62828e995f8835e5c425fd735053cd0af,1,1,0,61235.12917,1226044.15,0,21,1,10,0,0,0.0,0.0,0,0,0,0,0,0,22,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
174,0x21678d17d7844762ab3c39e0351996ba3a3e6035,1,1,0,419.6166667,3915.566667,0,10,1,8,0,0,0.0,0.0,0,0,0,0,0,0,11,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
175,0xa940d5aacbc0cba1a59d761b3dba16ebf2ee0510,1,1,0,5.2375,426.0666667,0,5,1,5,0,0,0.0,0.0,0,0,0,0,0,0,6,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
176,0x15489e5e954f91f530f5521dec51d9e704e931e9,1,1,0,759.0583333,2309.066667,0,3,1,2,0,0,0.0,0.0,0,0,0,0,0,0,4,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
